Date,Stop Ref,Time,Subject,Reason for Stop,Outcome,Outcome Reason,Apparent Age,Gender,Ethnic Appearance Code,EA Group,Self-defined Ethnicity Code,SDE Group,,
12/10/2020,YRZS00098401,13:36:00,Person                                                                                                                                                                                                                                                         ,Z Fireworks (s.1 PACE),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,M9 Any other mi,Other,,
12/10/2020,YRZS00098402,13:42:00,Person                                                                                                                                                                                                                                                         ,Z Fireworks (s.1 PACE),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098442,11:05:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,28,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
13/10/2020,YRZS00098443,10:59:00,Person and Vehicle                                                                                                                                                                                                                                             ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,35,M                                                 ,2 White - South European                          ,White,N4 Person decli,Other,,
13/10/2020,YRZS00098491,11:05:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,32,M                                                 ,2 White - South European                          ,White,N4 Person decli,Other,,
13/10/2020,YRZS00098417,19:00:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098424,19:00:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,17,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098413,10:34:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,21,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098412,09:12:00,Vehicle                                                                                                                                                                                                                                                        ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,0,V                                                 ,                                                  ,Other,,Other,,
13/10/2020,YRZS00098414,11:48:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,23,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
13/10/2020,YRZS00098420,19:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,40,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098429,17:54:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,48,F                                                 ,1 White - North European                          ,White,W1 British,White,,
13/10/2020,YRZS00098436,22:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,F                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098477,10:50:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,2 White - South European                          ,White,O9 Any other et,Other,,
13/10/2020,YRZS00098427,22:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,A9 Any other As,Asian,,
13/10/2020,YRZS00098611,22:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098426,17:55:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,44,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098422,17:58:00,Vehicle                                                                                                                                                                                                                                                        ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,43,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098440,19:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,43,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098435,19:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,40,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
13/10/2020,YRZS00098434,22:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
13/10/2020,YRZS00098472,22:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,17,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098473,22:42:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098475,22:42:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098474,22:42:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098419,17:41:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,34,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098415,16:01:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,25,M                                                 ,4 Asian                                           ,Asian,A3 Bangladeshi,Asian,,
13/10/2020,YRZS00098479,17:05:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,4 Asian                                           ,Asian,A9 Any other As,Asian,,
13/10/2020,YRZS00098439,18:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,5 Chinese Japanese or South East Asian           ,Other,B2 African,Black,,
13/10/2020,YRZS00098410,11:05:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,33,M                                                 ,6 Middle Eastern                                  ,Other,M3 White and As,Other,,
13/10/2020,YRZS00098409,11:01:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,33,M                                                 ,6 Middle Eastern                                  ,Other,O9 Any other et,Other,,
13/10/2020,YRZS00098561,15:37:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),4 Arrested,D Weapons Points & Blades Offences               ,14,M                                                 ,4 Asian                                           ,Asian,A9 Any other As,Asian,,
13/10/2020,YRZS00098425,16:51:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,13,M                                                 ,1 White - North European                          ,White,W1 British,White,,
13/10/2020,YRZS00098431,19:09:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,17,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
13/10/2020,YRZS00098437,15:50:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
13/10/2020,YRZS00098438,21:26:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
13/10/2020,YRZS00098421,19:00:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
13/10/2020,YRZS00098432,19:05:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,M9 Any other mi,Other,,
13/10/2020,YRZS00098423,16:53:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,13,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
13/10/2020,YRZS00098416,15:30:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,14,M                                                 ,3 Black                                           ,Black,O9 Any other et,Other,,
13/10/2020,YRZS00098560,15:29:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,18,M                                                 ,4 Asian                                           ,Asian,A3 Bangladeshi,Asian,,
13/10/2020,YRZS00098430,16:55:00,Person                                                                                                                                                                                                                                                         ,F Going equipped (s.1 PACE),1 No further action,Not Applicable                                    ,13,M                                                 ,1 White - North European                          ,White,A1 Indian,Asian,,
13/10/2020,YRZS00098408,10:08:00,Vehicle                                                                                                                                                                                                                                                        ,F Going equipped (s.1 PACE),1 No further action,Not Applicable                                    ,,V                                                 ,                                                  ,Other,,Other,,
14/10/2020,YRZS00098492,15:05:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,15,M                                                 ,1 White - North European                          ,White,W1 British,White,,
14/10/2020,YRZS00098466,19:40:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
14/10/2020,YRZS00098464,01:25:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,27,M                                                 ,3 Black                                           ,Black,M9 Any other mi,Other,,
14/10/2020,YRZS00098505,16:00:00,Person and Vehicle                                                                                                                                                                                                                                             ,A Stolen property (s.1 PACE),4 Arrested,T Theft Fraud & Counterfeit Offences             ,22,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
14/10/2020,YRZS00098489,22:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,22,F                                                 ,3 Black                                           ,Black,M2 White and Bl,Other,,
14/10/2020,YRZS00098461,16:51:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,31,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
14/10/2020,YRZS00098454,17:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,51,F                                                 ,1 White - North European                          ,White,W1 British,White,,
14/10/2020,YRZS00098453,17:22:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,35,F                                                 ,1 White - North European                          ,White,W2 Irish,White,,
14/10/2020,YRZS00098448,15:50:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,26,F                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098445,16:36:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,38,F                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
14/10/2020,YRZS00098463,20:54:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,19,M                                                 ,0 Unknown                                         ,Other,M9 Any other mi,Other,,
14/10/2020,YRZS00098469,20:19:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,15,M                                                 ,0 Unknown                                         ,Other,N4 Person decli,Other,,
14/10/2020,YRZS00098458,20:00:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,19,M                                                 ,0 Unknown                                         ,Other,O9 Any other et,Other,,
14/10/2020,YRZS00098457,20:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,1 White - North European                          ,White,O9 Any other et,Other,,
14/10/2020,YRZS00098447,14:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,25,M                                                 ,1 White - North European                          ,White,W1 British,White,,
14/10/2020,YRZS00098456,20:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,41,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098465,16:10:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,30,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098481,19:30:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098451,16:58:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,21,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098462,17:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,29,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098468,16:35:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,32,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
14/10/2020,YRZS00098446,17:25:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
14/10/2020,YRZS00098658,20:11:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,25,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
14/10/2020,YRZS00098455,16:14:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,25,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
14/10/2020,YRZS00098452,17:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,54,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
14/10/2020,YRZS00098471,23:10:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,27,M                                                 ,3 Black                                           ,Black,M1 White and Bl,Other,,
14/10/2020,YRZS00098470,21:00:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,23,M                                                 ,3 Black                                           ,Black,M2 White and Bl,Other,,
14/10/2020,YRZS00098467,19:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,19,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
14/10/2020,YRZS00098483,20:11:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,24,M                                                 ,6 Middle Eastern                                  ,Other,M9 Any other mi,Other,,
14/10/2020,YRZS00098559,18:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,P Public Order Offences (inc s.1-5 POA Drunkeness Assault on Police & Breach of the Peace),33,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098459,21:00:00,Person                                                                                                                                                                                                                                                         ,C Firearms (s.47 Firearms Act),1 No further action,Not Applicable                                    ,22,F                                                 ,2 White - South European                          ,White,O9 Any other et,Other,,
14/10/2020,YRZS00098480,20:45:00,Person                                                                                                                                                                                                                                                         ,C Firearms (s.47 Firearms Act),1 No further action,Not Applicable                                    ,22,F                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098482,20:45:00,Person                                                                                                                                                                                                                                                         ,C Firearms (s.47 Firearms Act),1 No further action,Not Applicable                                    ,26,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
14/10/2020,YRZS00098444,12:10:00,Person and Vehicle                                                                                                                                                                                                                                             ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,54,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
14/10/2020,YRZS00098449,15:00:00,Person and Vehicle                                                                                                                                                                                                                                             ,F Going equipped (s.1 PACE),4 Arrested,O Other Offence (not listed above),18,M                                                 ,1 White - North European                          ,White,W2 Irish,White,,
15/10/2020,YRZS00098498,17:20:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,34,M                                                 ,1 White - North European                          ,White,N3 Person does,Other,,
15/10/2020,YRZS00098496,16:55:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,14,M                                                 ,1 White - North European                          ,White,W2 Irish,White,,
15/10/2020,YRZS00098508,22:10:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,22,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
15/10/2020,YRZS00098497,17:00:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
15/10/2020,YRZS00098507,15:55:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,17,M                                                 ,4 Asian                                           ,Asian,A2 Pakistani,Asian,,
15/10/2020,YRZS00098495,15:18:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,34,F                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
15/10/2020,YRZS00098501,21:15:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,26,M                                                 ,0 Unknown                                         ,Other,O9 Any other et,Other,,
15/10/2020,YRZS00098493,13:12:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,18,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
